Disc,TrackStart,TrackEnd,Work,Composer,Conductor,Orchestra,Year,Movements
86,1,1,"Prélude à l'après-midi d'un faune, L 86: Très modéré",Claude Debussy,Eugene Ormandy,The Philadelphia Orchestra,1955,1
86,2,4,"Daphnis et Chloé, Suite no. 2",Maurice Ravel,Eugene Ormandy,The Philadelphia Orchestra,1955,3
86,5,7,"Nocturnes, L. 91, CD 98",Claude Debussy,Eugene Ormandy,The Philadelphia Orchestra,1955,3
87,1,5,"Symphonie espagnole in D minor, op. 21",Édouard Lalo,Eugene Ormandy,The Philadelphia Orchestra,1956,5
87,6,8,"Violin Concerto no. 1 in G minor, op. 26",Max Bruch,Eugene Ormandy,The Philadelphia Orchestra,1956,3
88,1,3,"Konzert für Violine und Orchester D-Dur, op. 77",Johannes Brahms,Eugene Ormandy,The Philadelphia Orchestra,1956,3
88,4,7,"Violin Concerto no. 4 in D minor, op. 31",Henri Vieuxtemps,Eugene Ormandy,The Philadelphia Orchestra,1957,4
89,1,4,"Symfonie č. 9 e moll, op. 95 „Z Nového světa“",Antonín Dvořák,Eugene Ormandy,The Philadelphia Orchestra,1956,4
90,1,4,"Concerto for Piano and Orchestra no. 2 in B-flat major, op. 83",Johannes Brahms,Eugene Ormandy,The Philadelphia Orchestra,1956,4
91,1,1,"Moto perpetuo, op. 11",Niccolò Paganini,Eugene Ormandy,The Philadelphia Orchestra,1955,1
91,2,2,Sacrae symphoniae - Book 1: No. 33 Sonata pian' e forte,Eugene Ormandy,Eugene Ormandy,The Philadelphia Orchestra,1955,1
91,3,3,"Concerto for Percussion and Small Orchestra, op. 109: Vif 𝅘𝅥 = 116. Rude et dramatique",Darius Milhaud,Eugene Ormandy,The Philadelphia Orchestra,1955,1
91,4,4,"Serenade in E-flat major, op. 7",Richard Strauss,Eugene Ormandy,The Philadelphia Orchestra,1955,1
91,5,6,"Serenade no. 2 in A major, op. 16",Johannes Brahms,Eugene Ormandy,The Philadelphia Orchestra,1955,2
91,7,7,"Pomp and Circumstance Military Marches, op. 39",Edward Elgar,Eugene Ormandy,The Philadelphia Orchestra,1955,1
92,1,1,Iberia: Book I. Evocación,Isaac Albéniz,Eugene Ormandy,The Philadelphia Orchestra,1956,1
92,2,2,Iberia: Book I. El puerto,Isaac Albéniz,Eugene Ormandy,The Philadelphia Orchestra,1956,1
92,3,3,Iberia: Book I. El Corpus en Sevilla,Isaac Albéniz,Eugene Ormandy,The Philadelphia Orchestra,1956,1
92,4,4,Iberia: Book II. Rondeña,Isaac Albéniz,Eugene Ormandy,The Philadelphia Orchestra,1956,1
92,5,5,Iberia: Book II. Almeria,Isaac Albéniz,Eugene Ormandy,The Philadelphia Orchestra,1956,1
92,6,6,Iberia: Book II. Triana,Isaac Albéniz,Eugene Ormandy,The Philadelphia Orchestra,1956,1
92,7,7,Iberia: Book III. El Albaicín,Isaac Albéniz,Eugene Ormandy,The Philadelphia Orchestra,1956,1
92,8,8,Iberia: Book III. El Polo,Isaac Albéniz,Eugene Ormandy,The Philadelphia Orchestra,1956,1
92,9,9,Iberia: Book III. Lavapiés,Isaac Albéniz,Eugene Ormandy,The Philadelphia Orchestra,1956,1
92,10,10,Iberia: Book IV. Málaga,Isaac Albéniz,Eugene Ormandy,The Philadelphia Orchestra,1956,1
92,11,11,Iberia: Book IV. Jérez,Isaac Albéniz,Eugene Ormandy,The Philadelphia Orchestra,1956,1
92,12,12,Iberia: Book IV. Eritaña,Isaac Albéniz,Eugene Ormandy,The Philadelphia Orchestra,1956,1
93,1,1,"Third Suite from the ballet “Gayaneh” for orchestra, op. 55",Արամ Խաչատրյան,Eugene Ormandy,The Philadelphia Orchestra,1956,1
93,2,5,"First Suite from the ballet “Gayaneh” for orchestra, op. 53",Արամ Խաչատրյան,Eugene Ormandy,The Philadelphia Orchestra,1956,4
93,6,15,"The Comedians, op. 26",Дмитрий Борисович Кабалевский,Eugene Ormandy,The Philadelphia Orchestra,1956,10
94,1,8,Appalachian Spring Suite,Aaron Copland,Eugene Ormandy,The Philadelphia Orchestra,1954,8
94,9,15,Billy the Kid,Aaron Copland,Eugene Ormandy,The Philadelphia Orchestra,1955,7
95,1,1,Die Fledermaus,Johann Strauss,Eugene Ormandy,The Philadelphia Orchestra,1952,1
95,2,2,Die Fledermaus: Suite,Eugene Ormandy,Eugene Ormandy,The Philadelphia Orchestra,1955,1
95,3,3,"Tausend und eine Nacht, op. 346 (Waltz)",Johann Strauss,Eugene Ormandy,The Philadelphia Orchestra,1955,1
95,4,4,"Sphärenklänge, op. 235 (Waltz)",Josef Strauss,Eugene Ormandy,The Philadelphia Orchestra,1955,1
95,5,5,"Schwert und Leier, op. 71 (Waltz)",Josef Strauss,Eugene Ormandy,The Philadelphia Orchestra,1955,1
95,6,6,"Kaiser-Walzer, op. 437",Johann Strauss,Eugene Ormandy,The Philadelphia Orchestra,1956,1
95,7,7,"An der schönen blauen Donau, op. 314",Johann Strauss,Eugene Ormandy,The Philadelphia Orchestra,1957,1
95,8,8,"Rosen aus dem Süden, op. 388 (Waltz)",Johann Strauss,Eugene Ormandy,The Philadelphia Orchestra,1956,1
96,1,3,"Concerto for Piano and Orchestra in A minor, op. 54",Robert Schumann,Eugene Ormandy,The Philadelphia Orchestra,1956,3
96,4,4,"Burleske for Piano and Orchestra in D minor, TrV 145",Richard Strauss,Eugene Ormandy,The Philadelphia Orchestra,1955,1
97,1,1,"Don Juan, op. 20: Allegro molto con brio",Richard Strauss,Eugene Ormandy,The Philadelphia Orchestra,1955,1
97,2,2,Der Rosenkavalier: Waltzes,Richard Strauss,Eugene Ormandy,The Philadelphia Orchestra,1952,1
97,3,3,"Till Eulenspiegel lustige Streiche, op. 28: Gemächlich -",Richard Strauss,Eugene Ormandy,The Philadelphia Orchestra,1952,1
97,4,4,"Till Eulenspiegel lustige Streiche, op. 28: Immer sehr lebhaft -",Richard Strauss,Eugene Ormandy,The Philadelphia Orchestra,1952,1
97,5,5,"Till Eulenspiegel lustige Streiche, op. 28: Etwas gemütlicher -",Richard Strauss,Eugene Ormandy,The Philadelphia Orchestra,1952,1
97,6,6,"Till Eulenspiegel lustige Streiche, op. 28: 4 bars before fig. 38 -",Richard Strauss,Eugene Ormandy,The Philadelphia Orchestra,1952,1
97,7,7,"Till Eulenspiegel lustige Streiche, op. 28: Epilog. Doppelt so langsam",Richard Strauss,Eugene Ormandy,The Philadelphia Orchestra,1952,1
97,8,8,"Feuersnot, op. 50: Love Scene",Richard Strauss,Eugene Ormandy,The Philadelphia Orchestra,1952,1
98,1,3,Credendum (Article of Faith),William Schuman,Eugene Ormandy,The Philadelphia Orchestra,1956,3
98,4,6,Concerto for Piano and Orchestra no. 1,Leon Kirchner,,New York Philharmonic,1956,3
99,1,4,"Serenade for Strings in C major, op. 48",Пётр Ильич Чайковский,Eugene Ormandy,The Strings of the Philadelphia Orchestra,1952,4
99,5,5,String Quartet no. 2: Notturno,Александр Порфирьевич Бородин,Eugene Ormandy,The Strings of the Philadelphia Orchestra,1957,1
99,6,6,Adagio for Strings. Molto adagio,Samuel Barber,Eugene Ormandy,The Strings of the Philadelphia Orchestra,1957,1
99,7,7,Fantasia on “Greensleeves”,Ralph Vaughan Williams,Eugene Ormandy,The Philadelphia Orchestra,1957,1
100,1,4,"Symphony no. 3 in B minor, op. 42 ""Il'ya Muromets""",Рейнгольд Морицевич Глиэр,Eugene Ormandy,The Philadelphia Orchestra,1956,4
101,1,4,"Swan Lake, op. 20: Act I",Пётр Ильич Чайковский,Eugene Ormandy,The Philadelphia Orchestra,1956,4
101,5,5,"Swan Lake, op. 20: Act II",Пётр Ильич Чайковский,Eugene Ormandy,The Philadelphia Orchestra,1956,1
101,6,8,"Swan Lake, op. 20: Act II, no. 13: Danses des cygnes",Пётр Ильич Чайковский,Eugene Ormandy,The Philadelphia Orchestra,1956,3
101,9,11,"Swan Lake, op. 20: Act III",Пётр Ильич Чайковский,Eugene Ormandy,The Philadelphia Orchestra,1956,3
101,12,13,"Swan Lake, op. 20: Act IV",Пётр Ильич Чайковский,Eugene Ormandy,The Philadelphia Orchestra,1956,2
102,1,1,Armida,Tommaso Traetta,Eugene Ormandy,The Philadelphia Orchestra,1954,1
102,2,2,Orpheus in the Underworld,Carl Binder,Eugene Ormandy,The Philadelphia Orchestra,1954,1
102,3,3,Prodaná nevěsta,Bedřich Smetana,Eugene Ormandy,The Philadelphia Orchestra,1953,1
102,4,4,Mignon,Ambroise Thomas,Eugene Ormandy,The Philadelphia Orchestra,1953,1
102,5,5,Die Schöne Galathée,Franz von Suppé,Eugene Ormandy,The Philadelphia Orchestra,1954,1
102,6,6,Leichte Kavallerie,Franz von Suppé,Alexander Hilsberg,The Philadelphia Orchestra,1952,1
102,7,7,"Le Carnaval romain, op. 9: Allegro assai con fuoco – Andante sostenuto – Tempo I. Allegro vivace",Hector Berlioz,Alexander Hilsberg,The Philadelphia Orchestra,1952,1
103,1,3,"Violin Concerto no. 2 in D minor, op. 22",Henryk Wieniawski,Eugene Ormandy,The Philadelphia Orchestra,1957,3
103,4,4,"Introduction et Rondo capriccioso in A minor, op. 28: Andante (malinconico) - Allegro ma non troppo - Più allegro",Camille Saint‐Saëns,Eugene Ormandy,The Philadelphia Orchestra,1957,1
103,5,5,"Tzigane, M 76: Lento, quasi cadenza - Molto espressivo. Portando - Quasi cadenza - Moderato - Allegro - Sempre accelerando - Presto",Maurice Ravel,Eugene Ormandy,The Philadelphia Orchestra,1957,1
104,1,4,"Symphony no. 3 in C minor “avec orgue”, op. 78",Camille Saint‐Saëns,Eugene Ormandy,The Philadelphia Orchestra,1956,4
105,1,2,"Symphony no. 8 in B minor, D. 759 “Unfinished”",Franz Schubert,Eugene Ormandy,The Philadelphia Orchestra,1956,2
105,3,6,"Ein Sommernachtstraum, op. 61",Felix Mendelssohn,Eugene Ormandy,The Philadelphia Orchestra,1957,4
106,1,1,"The Red Poppy Suite, op. 70",Рейнгольд Морицевич Глиэр,Eugene Ormandy,The Philadelphia Orchestra,1957,1
106,2,2,Prodaná nevěsta: Act I,Bedřich Smetana,Eugene Ormandy,The Philadelphia Orchestra,1953,1
106,3,4,"Three Dances from ""The Bartered Bride""",Bedřich Smetana,Eugene Ormandy,The Philadelphia Orchestra,1953,2
106,5,6,"21 Hungarian Dances for Orchestra, WoO 1",Johannes Brahms,Eugene Ormandy,The Philadelphia Orchestra,1953,2
106,7,11,Hungarian Dances for orchestra,Johannes Brahms,Eugene Ormandy,The Philadelphia Orchestra,1957,5
106,12,12,"Third Suite from the ballet “Gayaneh” for orchestra, op. 55",Արամ Խաչատրյան,Eugene Ormandy,The Philadelphia Orchestra,1956,1
107,1,1,"En Saga, op. 9",Jean Sibelius,Eugene Ormandy,The Philadelphia Orchestra,1955,1
107,2,2,"Pohjola's Daughter, op. 49",Jean Sibelius,Eugene Ormandy,The Philadelphia Orchestra,1955,1
107,3,3,"The Oceanides, op. 73: Sostenuto assai",Jean Sibelius,Eugene Ormandy,The Philadelphia Orchestra,1955,1
107,4,4,"Tapiola, op. 112: Largamente - Allegro - Allegro modera",Jean Sibelius,Eugene Ormandy,The Philadelphia Orchestra,1955,1
107,5,5,"Swedish Rhapsody no. 1 “Midsommarvaka”, op. 19",Hugo Alfvén,Eugene Ormandy,The Philadelphia Orchestra,1953,1
107,6,7,"Peer Gynt Suite no. 1, op. 46",Edvard Grieg,Eugene Ormandy,The Philadelphia Orchestra,1953,2
108,1,2,"Rapsodiile române, op. 11",George Enescu,Eugene Ormandy,The Philadelphia Orchestra,1957,2
108,3,3,"Carnival, op. 92: Allegro - Andante con moto - Allegro",Antonín Dvořák,Eugene Ormandy,The Philadelphia Orchestra,1957,1
108,4,4,"Francesca da Rimini, op. 32: Andante lugubre - Allegro vivo - Andante cantabile non troppo - Allegro vivo",Пётр Ильич Чайковский,Eugene Ormandy,The Philadelphia Orchestra,1955,1
109,1,1,"Zigeunerweisen, op. 20: Moderato -",Pablo de Sarasate,William Smith,Columbia Symphony Orchestra,1957,1
109,2,2,"Zigeunerweisen, op. 20: Lento -",Pablo de Sarasate,William Smith,Columbia Symphony Orchestra,1957,1
109,3,3,"Zigeunerweisen, op. 20: Un peu plus lent -",Pablo de Sarasate,William Smith,Columbia Symphony Orchestra,1957,1
109,4,4,"Zigeunerweisen, op. 20: Allegro molto vivace",Pablo de Sarasate,William Smith,Columbia Symphony Orchestra,1957,1
109,5,7,"Havanaise in E major, op. 83",Camille Saint‐Saëns,William Smith,Columbia Symphony Orchestra,1957,3
109,8,8,"Introduction et Rondo capriccioso in A minor, op. 28: Andante (malinconico) - Allegro ma non troppo - Più allegro",Camille Saint‐Saëns,Eugene Ormandy,The Philadelphia Orchestra,1950,1
109,9,9,"Poème, op. 25: Lento e misterioso - Molto animato - Animato - Poco lento - Poco meno lento - Allegro - Tempo I - Tranquillo",Ernest Chausson,Eugene Ormandy,The Philadelphia Orchestra,1957,1
110,1,1,"Má vlast, JB 1:112",Bedřich Smetana,Eugene Ormandy,The Philadelphia Orchestra,1956,1
110,2,2,"Aufforderung zum Tanz, op. 65",Carl Maria von Weber,Eugene Ormandy,The Philadelphia Orchestra,1957,1
110,3,3,"Deux épisodes d’après le Faust de Lenau, S. 110",Franz Liszt,Eugene Ormandy,The Philadelphia Orchestra,1957,1
110,4,4,"La Damnation de Faust, op. 24: Troisième Partie",Hector Berlioz,Eugene Ormandy,The Philadelphia Orchestra,1953,1
110,5,5,"La Damnation de Faust, op. 24: Deuxième Partie",Hector Berlioz,Eugene Ormandy,The Philadelphia Orchestra,1953,1
110,6,6,"La Damnation de Faust, op. 24: Première Partie",Hector Berlioz,Eugene Ormandy,The Philadelphia Orchestra,1953,1
111,1,1,"Variations, Chaconne and Finale: Theme (Kyrie from Missa de Angelis) / Var. I. Semplice e grazioso / Var. II. Andante religioso / Var. III. Vivacissimo / Var. IV. Allegro pesante / Var. V. Amabile / Var. VI. Funebre",Norman Dello Joio,Eugene Ormandy,The Philadelphia Orchestra,1957,1
111,2,2,"Variations, Chaconne and Finale: Chaconne. Adagio serioso",Norman Dello Joio,Eugene Ormandy,The Philadelphia Orchestra,1957,1
111,3,3,"Variations, Chaconne and Finale: Finale. Allegro vivo, giocoso e ritmico",Norman Dello Joio,Eugene Ormandy,The Philadelphia Orchestra,1957,1
111,4,4,Symphony in D,John Vincent,Eugene Ormandy,The Philadelphia Orchestra,1957,1
112,1,4,"Symphony no. 1 in D major, op. 25 “Classical”",Сергей Сергеевич Прокофьев,Eugene Ormandy,The Philadelphia Orchestra,1955,4
112,5,6,"Polka and Fugue From ""Schwanda the Bagpiper""",Jaromír Weinberger,Eugene Ormandy,The Philadelphia Orchestra,1955,2
112,7,10,Symphonie no. 1 en ut majeur,Georges Bizet,Eugene Ormandy,The Philadelphia Orchestra,1955,4
113,1,1,Don Quixote,Richard Strauss,Eugene Ormandy,The Philadelphia Orchestra,1955,1
113,2,12,"Don Quixote, op. 35: II. Theme and Variations",Richard Strauss,Eugene Ormandy,The Philadelphia Orchestra,1955,11
113,13,13,Don Quixote,Richard Strauss,Eugene Ormandy,The Philadelphia Orchestra,1955,1
114,1,4,"Symphony no. 99 in E-flat major, Hob. I:99",Joseph Haydn,Eugene Ormandy,The Philadelphia Orchestra,1954,4
114,5,8,"Symphony no. 100 in G major, Hob. I:100 ""Military""",Joseph Haydn,Eugene Ormandy,The Philadelphia Orchestra,1953,4
115,1,3,"Concerto for Piano and Orchestra no. 5 in E-flat major, op. 73 “Emperor”",Ludwig van Beethoven,Eugene Ormandy,The Philadelphia Orchestra,1958,3
116,1,1,"Der Rosenkavalier, TrV 227d: Prelude to Act I. Con moto agitato - attacca / Presentation of the Silver Rose. Allegro molto - attacca / Baron Ochs's Waltz. Tempo di valse, assai comodo da primo - attacca / Closing Duet: “Ist ein Traum”. Moderato molto sostenuto - attacca / Waltz (Reprise)",Richard Strauss,Eugene Ormandy,The Philadelphia Orchestra,1958,1
116,2,2,"Die Frau ohne Schatten: Symphonic Fantasia, TrV 234a",Richard Strauss,Eugene Ormandy,The Philadelphia Orchestra,1957,1
117,1,1,Panamericana: Molto moderato e marcato,Victor Herbert,Eugene Ormandy,The Philadelphia Orchestra,1952,1
117,2,2,American Fantasy,Victor Herbert,Eugene Ormandy,The Philadelphia Orchestra,1952,1
117,3,3,Irish Rhapsody,Victor Herbert,Eugene Ormandy,The Philadelphia Orchestra,1952,1
117,4,4,Naughty Marietta: Selections,Victor Herbert,Eugene Ormandy,The Philadelphia Orchestra,1952,1
117,5,5,The Fortune Teller: Selections,Victor Herbert,Eugene Ormandy,The Philadelphia Orchestra,1952,1
118,1,4,"Symphony no. 6 in F major, op. 68 “Pastorale”",Ludwig van Beethoven,Bruno Walter,The Philadelphia Orchestra,1946,4
118,5,5,"Symphony no. 6 in F major, op. 68 ""Pastoral"", S. 464 no. 6",Ludwig van Beethoven,Bruno Walter,The Philadelphia Orchestra,1946,1
118,6,7,"Symphony no. 8 in B minor, D. 759 “Unfinished”",Franz Schubert,Bruno Walter,The Philadelphia Orchestra,1947,2
119,1,1,Show Boat,Jerome Kern,André Kostelanetz,The Philadelphia Orchestra,1951,1
119,2,2,South Pacific,Richard Rodgers,André Kostelanetz,The Philadelphia Orchestra,1951,1
119,3,3,On Your Toes,Richard Rodgers,André Kostelanetz,The Philadelphia Orchestra,1951,1
119,4,12,The Triumph of Neptune,"Gerald Tyrwhitt‐Wilson, Lord Berners",Sir Thomas Beecham,The Philadelphia Orchestra,1952,9
119,13,13,Semiramide,Gioachino Rossini,Sir Thomas Beecham,The Philadelphia Orchestra,1952,1
120,1,1,"Symphony no. 40 in G minor, K. 550 “Great”",Wolfgang Amadeus Mozart,Charles O’Connell,Columbia Symphony Orchestra,,1
120,2,2,"Symphony no. 3 in E‐flat major, op. 55 “Eroica”",Ludwig van Beethoven,Charles O’Connell,Columbia Symphony Orchestra,,1
120,3,3,"Symphony no. 3 in A minor, op. 56 “Scottish”",Felix Mendelssohn,Charles O’Connell,Columbia Symphony Orchestra,,1
120,4,4,"Sinfonie Nr. 1 c-Moll, op. 68",Johannes Brahms,Charles O’Connell,Columbia Symphony Orchestra,,1
120,5,5,"Scheherazade, op. 35",Николай Андреевич Римский‐Корсаков,Charles O’Connell,Columbia Symphony Orchestra,,1
120,6,6,"Sinfonia nro 2 D-duuri, op. 43",Jean Sibelius,Charles O’Connell,Columbia Symphony Orchestra,,1
120,7,7,Symphonie en ré mineur op. 48,César Franck,Charles O’Connell,Columbia Symphony Orchestra,,1
120,8,8,"Symphony no. 4 in F minor, op. 36",Пётр Ильич Чайковский,Charles O’Connell,Columbia Symphony Orchestra,,1
