Composer	Work	Orchestra	Conductor	Performers	Label	Year	Rating	Comment
Berlioz, Hector	Le carnaval romain	MET Orchestra	James Levine			2003	9	
Brahms, Johannes	Academic Festival Overture	Yomiuri Nippon Symphony Orchestra	Gerd Albrecht			2001?	U.	The most luxuriant Academic Festival Overture I've heard, with prominent brass and pronounced cymbals. Too over the top but it is surprises me that it's coming from MTT.
Brahms, Johannes	Academic Festival Overture	Chicago Symphony Orchestra	Paul Hindemith			1963	H. I. 	
Brahms, Johannes	Symphony No. 1	London Symphony Orchestra	Leopold Stokowski			1972	H. I. 	Showcases Ormandy in his prime. Beware the poor sonics.
Bruckner, Anton	Symphony No. 3 (Movement I)	Wiener Philharmoniker	Christian Thielemann			2020	9	
Bruckner, Anton	Symphony No. 7	Osaka Philharmonic Orchestra	Takashi Asahina			1975	9	
Debussy, Claude	La mer	Orchestre de Paris	Daniel Harding			2017	9	
Dvořák, Antonín	Symphony No. 7	Berliner Philharmoniker	Herbert Blomstedt			2016	8	
Haydn, Joseph	Symphony No. 92	Boston Symphony Orchestra	John Barbirolli			1968	7	
Haydn, Joseph	Symphony No. 92	Royal Concertgebouw Orchestra	Karel Ancerl			1970	7	How muscular and energetic. Jansons in his prime.
Ibert, Jacques	Escales	Philadelphia Orchestra	Eugene Ormandy			1960	8	
Liszt, Franz	Les Préludes	Wiener Philharmoniker	Wilhelm Furtwängler			1954	9	It's just… so bad. Solti clearly being too old with the lethargic tempi.
Liszt, Franz	Piano Concerto No. 1	Bournemouth Symphony Orchestra	Constantin Silvestri	John Ogdon		1967	9	
Mozart, Wolfgang Amadeus	Die Entführung aus dem Serail Overture	Royal Philharmonic Orchestra	Colin Davis				9	
Mozart, Wolfgang Amadeus	Die Zauberflöte Overture	Standard Symphony Orchestra	Pierre Monteux			1952	H. I. 	Excessively clipped and underpowered
Mozart, Wolfgang Amadeus	Symphony No. 33	Czech Philharmonic Orchestra	Václav Talich			1954	8	
Rossini, Gioachino	La Gazza Ladra Overture	Philharmonia Orchestra	Guido Cantelli			1952	8	
Schubert, Franz	Symphony No. 3	Berliner Philharmoniker	Herbert Blomstedt			2022	9	
Schubert, Franz	Symphony No. 6	Bamberger Symphoniker	Joseph Keilberth			1954	8	Despite a slow start, the performance is solid. As with Horenstein, the recording sounds 2 decades older than the performance.
Schubert, Franz	Symphony No. 9	London Philharmonic Orchestra	Klaus Tennstedt			1984	9	Good mono sound
Schumann, Robert	Symphony No. 2	NBC Symphony Orchestra	Arturo Toscanini			1946	9	
Schumann, Robert	Symphony No. 2	New York Philharmonic	Leopold Stokowski			1949	8	Amazing.
Shostakovich, Dmitri	Symphony No. 1	Orchestre National de France	Igor Markevitch			1960	8	
Shostakovich, Dmitri	Symphony No. 1	Berliner Philharmoniker	Mariss Jansons			1994	8	
Sibelius, Jean	Symphony No. 2	Berliner Philharmoniker	Sakari Oramo			2021	9	
Sibelius, Jean	Symphony No. 5	Philadelphia Orchestra	Eugene Ormandy			1954	9	
Sibelius, Jean	Violin Concerto	hr-sinfonieorchester	Alain Altinoglu	Julia Fischer		2023	8	
Strauss II, Johann	Kaiserwalz	Berliner Philharmoniker	Herbert von Karajan			1980	9	
Strauss II, Johann	Kaiserwalz	Wiener Philharmoniker	Lorin Maazel			1982	9	Amazing. First interpretation where the last movement did not bore me to tears.
Tchaikovsky, Pyotr Ilyich	Marche Slave	New York Philharmonic	Leonard Bernstein			1963	9	
Tchaikovsky, Pyotr Ilyich	Piano Concerto No. 1 (Movement I)	NBC Symphony Orchestra	Arturo Toscanini	Vladimir Horowitz		1941	9	
Tchaikovsky, Pyotr Ilyich	Romeo and Juliet	NBC Symphony Orchestra	Guido Cantelli			1952	9	
Tchaikovsky, Pyotr Ilyich	Symphony No. 5	Berliner Philharmoniker	Zubin Mehta			2017	8	The performance just lacks the passion that this work demands. Jansons is Jansons.
Tchaikovsky, Pyotr Ilyich	The Tempest	Berliner Philharmoniker	Gustavo Dudamel			2014	9	
Wagner, Richard	Der fliegende Holländer Overture	Orchester der Bayreuther Festspiele	Christian Thielemann			2012	9	
Wagner, Richard	Die Meistersinger von Nürnberg Overture	Royal Concertgebouw Orchestra	Mariss Jansons			2013	9	
Wagner, Richard	Lohengrin - Prelude to Act III	Berliner Philharmoniker	Kirill Petrenko			2023	9	
Wagner, Richard	Tannhäuser - Overture & Venusberg Music	London Philharmonic Orchestra	Klaus Tennstedt			1988	9	
Wagner, Richard	Tannhäuser Overture	Leningrad Philharmonic Orchestra	Evgeny Mravinsky			1977	8	Sublime. Extraordinarily beautiful.
Weber, Carl Maria von	Euryanthe Overture	New York Philharmonic	Arturo Toscanini			1945	9	
Weber, Carl Maria von	Oberon Overture	Leningrad Philharmonic Orchestra	Evgeny Mravinsky			1977	9	
Weber, Carl Maria von	Oberon Overture	Staatskapelle Dresden	Giuseppe Sinopoli			1998	9	
Weber, Carl Maria von	Oberon Overture	Berliner Philharmoniker	Mariss Jansons			2017	9	